,TRAIN NO.,CLASS,FROM_CODE,TO_CODE,JOURNEY-DAY,JOURNEY-MONTH,JOURNEY-YEAR,QUOTA,BOOKING-DAY,BOOKING-MONTH,BOOKING-YEAR,WAITING NO.,CONFIRMED
0,10423,6,587,37,24,10,2013,11,9,6,2016,21,51
1,10150,7,169,477,5,9,2013,1,17,8,2014,45,51
2,10669,2,455,425,3,6,2014,7,6,9,2013,64,51
3,10742,7,122,276,5,8,2015,8,23,11,2015,21,52
4,10175,2,607,586,1,9,2013,1,15,6,2014,47,51
5,10203,2,543,614,25,1,2016,4,10,7,2013,68,51
6,10700,4,417,247,3,8,2015,4,12,7,2016,18,51
7,10163,7,94,43,13,11,2014,2,24,8,2016,5,52
8,10301,3,473,394,26,1,2013,3,27,5,2014,58,51
9,10433,1,353,385,9,5,2013,6,29,1,2015,103,0
10,10861,2,151,397,10,4,2014,7,22,10,2013,95,0
11,10866,2,73,237,7,1,2013,6,11,8,2015,53,51
12,10300,7,681,285,19,12,2014,8,28,5,2014,87,0
13,10731,7,33,53,1,5,2015,5,21,3,2014,40,51
14,10544,5,427,684,21,6,2015,3,24,8,2016,19,51
15,10623,1,182,356,5,11,2014,9,11,4,2016,46,51
16,10206,6,616,239,7,1,2016,5,18,8,2016,82,0
17,10634,5,275,574,12,4,2016,8,13,2,2013,25,51
18,10557,6,504,450,3,3,2013,3,28,1,2014,54,51
19,10737,3,122,411,27,1,2014,1,17,10,2015,135,0
20,10644,4,260,194,29,1,2013,3,3,1,2015,106,0
21,10408,7,545,499,28,3,2016,11,23,5,2013,130,0
22,10527,7,243,464,3,6,2013,10,19,10,2015,32,51
23,10495,4,686,655,10,2,2013,8,21,2,2015,58,51
24,10638,6,488,288,28,1,2014,3,24,7,2015,109,0
25,10495,1,114,265,18,11,2013,1,12,5,2014,129,0
26,10138,5,494,119,20,5,2015,7,2,8,2014,75,51
27,10998,6,456,305,11,6,2015,1,19,4,2016,96,0
28,10776,2,207,660,29,7,2014,11,17,10,2015,67,51
29,10262,4,168,165,16,11,2013,5,23,10,2013,124,0
30,10173,4,141,105,12,5,2013,11,13,2,2015,98,0
31,10171,7,134,550,25,10,2014,10,13,11,2014,53,51
32,10597,3,400,28,23,10,2016,11,26,10,2016,29,51
33,10393,6,139,591,26,1,2016,3,6,11,2014,4,52
34,10043,1,74,361,2,5,2013,6,1,1,2016,130,0
35,10088,7,432,606,9,12,2016,6,23,1,2016,118,0
36,10086,1,260,573,9,10,2015,3,28,8,2015,34,51
37,10076,4,342,484,5,3,2015,6,9,5,2015,52,51
38,10826,7,34,670,18,10,2015,5,14,5,2014,100,0
39,10822,3,177,168,25,1,2013,3,18,8,2014,12,52
40,10067,3,412,443,13,12,2013,2,9,3,2013,126,0
41,10725,1,509,652,26,10,2015,3,16,9,2014,58,50
42,10134,1,107,410,11,2,2014,3,11,1,2014,126,0
43,10398,2,633,104,21,10,2014,3,27,11,2013,119,0
44,10131,4,711,107,23,2,2014,11,20,9,2014,87,0
45,10875,7,344,593,15,11,2015,4,8,9,2013,94,0
46,10607,4,38,235,10,4,2015,8,18,5,2013,127,0
47,10356,1,170,527,29,6,2015,10,6,3,2013,101,0
48,10959,7,488,414,18,5,2013,8,22,8,2016,88,0
49,10446,1,568,520,7,12,2013,4,7,8,2015,89,0
50,10790,7,398,35,1,9,2014,1,19,6,2013,106,0
51,10730,7,85,160,10,5,2014,9,28,8,2014,73,51
52,10729,1,62,372,27,9,2014,8,20,2,2016,92,0
53,10883,4,412,417,17,8,2013,3,8,10,2015,3,52
54,10966,1,163,681,17,11,2015,1,19,4,2014,38,51
55,10277,1,656,316,9,1,2013,1,11,8,2014,124,0
56,10386,6,333,203,27,6,2013,9,2,1,2015,49,51
57,10724,7,223,258,16,5,2016,1,20,12,2016,116,0
58,10503,3,377,555,23,5,2016,6,23,1,2016,41,51
59,10879,4,495,140,3,9,2016,2,20,12,2015,97,0
60,10097,4,121,594,9,12,2016,7,22,5,2013,39,51
61,10074,1,576,625,3,1,2016,2,4,2,2016,99,0
62,10061,5,682,343,16,10,2015,10,6,4,2013,111,0
63,10993,7,580,459,27,2,2013,9,9,5,2013,30,51
64,10720,5,2,655,21,4,2015,10,24,3,2013,37,51
65,10680,1,78,128,21,6,2015,6,20,11,2015,129,0
66,10398,1,674,494,10,4,2016,8,4,12,2015,14,51
67,10627,3,547,374,16,12,2013,9,16,8,2016,71,51
68,10832,7,602,657,12,7,2013,5,8,3,2013,10,51
69,10470,1,519,498,3,12,2014,9,24,6,2015,130,0
70,10947,4,209,245,9,8,2014,7,27,5,2013,89,0
71,10194,3,238,484,10,2,2015,6,17,3,2016,76,51
72,10981,6,306,426,25,7,2014,2,4,11,2013,112,0
73,10230,6,213,363,3,3,2013,3,3,4,2016,81,0
74,10669,3,396,424,25,8,2015,5,3,4,2014,54,51
75,10286,3,169,352,8,7,2016,7,16,3,2014,43,51
76,10621,6,317,381,11,9,2015,9,23,11,2013,65,52
77,10606,6,229,373,1,3,2013,6,18,11,2016,44,51
78,10063,1,308,324,21,4,2013,8,12,4,2016,133,0
79,10590,5,404,495,13,8,2015,4,15,6,2014,87,0
80,10690,2,452,616,2,1,2015,3,29,7,2015,103,0
81,10882,3,412,559,2,3,2013,1,14,10,2014,108,0
82,10740,6,608,192,3,2,2015,5,20,7,2014,14,52
83,10873,4,403,75,1,1,2015,9,23,11,2013,120,0
84,10815,7,47,214,29,8,2015,2,1,3,2016,92,0
85,10461,4,135,695,3,3,2015,6,16,12,2013,28,51
86,10030,7,71,104,1,9,2013,10,8,3,2015,38,51
87,10411,5,211,629,2,12,2014,3,25,5,2016,47,51
88,10047,2,420,395,18,6,2014,2,12,8,2013,116,0
89,10532,2,598,440,3,5,2013,8,4,1,2016,130,0
90,10071,5,558,663,15,5,2016,2,19,9,2015,50,51
91,10209,4,3,658,2,8,2014,5,3,5,2016,92,0
92,10794,5,257,68,19,4,2016,10,14,9,2016,103,0
93,10311,2,180,285,22,11,2014,10,4,6,2013,91,0
94,10677,3,385,359,23,9,2013,2,2,3,2016,57,51
95,10010,5,260,228,17,12,2013,6,9,10,2013,51,51
96,10241,7,237,490,14,2,2014,4,27,2,2014,58,51
97,10462,5,311,267,18,7,2013,4,18,11,2013,98,0
98,10373,6,53,62,23,5,2016,8,7,3,2014,109,0
99,10346,3,279,698,9,3,2015,3,20,3,2014,12,51
100,10850,7,181,235,22,5,2016,4,22,1,2013,61,50
101,10683,1,143,214,22,3,2016,11,10,1,2013,100,0
102,10497,7,105,495,17,3,2016,9,7,4,2015,26,52
103,10949,7,193,234,27,5,2015,6,19,1,2015,7,52
104,10973,2,665,694,23,10,2015,4,6,8,2016,11,51
105,10201,1,350,92,7,5,2014,2,25,11,2015,104,0
106,10901,1,317,228,17,6,2015,2,3,8,2013,115,0
107,10989,5,5,211,13,1,2015,9,8,3,2013,87,0
108,10588,2,166,490,25,4,2013,9,8,6,2016,103,0
109,10632,3,595,190,15,4,2015,11,1,5,2016,106,0
110,10501,1,35,572,26,7,2016,2,2,10,2016,106,0
111,10673,2,647,408,7,11,2015,9,15,10,2014,139,0
